id,type,name,origin,row,match
2635869338831441421,host,Homo sapiens,Anthony,1,7818969158599414049
13639206402503799384,host,Felis catus,Anthony,2,13379558674117995900
1505248077238302184,host,Rhinolophus sinicus,Anthony,3,17492752780626056344
12181211286833289006,host,Rhinilophus ferrumequinum,Anthony,5,12661968354197151172
8854790733557009084,host,Aselliscus stoliczkanus,Anthony,6,2259116239416142585
1298078148368611148,host,Canis lupus familiaris (domestic dog),Anthony,7,17725050460804723794
1793713268492589363,host,Canis lupus familiaris,Anthony,8,17725050460804723794
15623282237558583671,host,Mus musculus; old,Anthony,9,4266611939445510489
10202929733045373682,host,Mus musculus; young,Anthony,10,4266611939445510489
10933910252677030324,host,Chlorocebus aethiops,Anthony,13,15047342627518720203
17842210480956225395,host,Mustela vison,Anthony,14,847334897701006686
8070205145500799471,host,Homo sapiens; patient #2 with severe acute,Anthony,15,11652268155167045279
8082503403136550241,host,Rhinolophus Ferrumequinum,Anthony,16,1099109481974468750
2684033785842308818,host,Vicugna pacos,Anthony,17,8420952885203453276
6972323376235922522,host,Gallus gallus,Anthony,19,3248344960615667135
8702863715599380397,host,Oryctolagus cuniculus,Anthony,20,16805230566005421771
8268352735802177763,host,Hydropotes inermis (water deer),Anthony,21,2390841092061343795
5343590439192172553,host,Hipposideros abae,Anthony,22,8476434251391177161
18325606032972049838,host,Rhinolophus ferrumequinum,Anthony,24,5439455756258861471
13559478834485399585,host,Branta canadensis,Anthony,26,3982160309879941928
9210082220463746637,host,Delphinapterus leucas (beluga whale),Anthony,27,6039317989971761016
12926912297059400065,host,Bos taurus,Anthony,29,5549035660701021675
16057779277534679546,host,Homo sapiens; sex: F; age: 12Y,Anthony,32,7818969158599414049
13894206554833000333,host,Homo sapiens; sex: F; age: 8Y,Anthony,33,7818969158599414049
9926216721942973396,host,Homo sapiens; sex: M; age: 4Y,Anthony,34,7818969158599414049
6434666313315675256,host,Mus musculus,Anthony,35,4266611939445510489
6438215839764959592,host,Neoromicia capensis,Anthony,36,711229478414453768
3157598148649688224,host,Rhinolophus affinis,Anthony,37,10363859235334865005
10236580002053900081,host,Rhinolophus macrotis,Anthony,39,6669800988377555210
6469471790811643889,host,Homo sapiens; bovine,Anthony,40,7818969158599414049
14968302876955438363,host,Camelus dromedarius,Anthony,44,15746117653815210672
14356947261945742809,host,Myotis lucifugus (little brown bat),Anthony,46,16089626169548218295
