id,host,virus,source,index,method
3355034259538491369,5496450762109605214,17401814388278163147,Anthony,NC_003045,GenBank
2243860365266798021,5496450762109605214,14346403554977571756,Anthony,NC_004718,GenBank
17693801706482782178,5496450762109605214,14346403554977571756,Anthony,JN854286,GenBank
12643505167853079686,5496450762109605214,14346403554977571756,Anthony,AY278741,GenBank
630791408392244929,5496450762109605214,14346403554977571756,Anthony,AY310120,GenBank
14227138550251153185,5496450762109605214,14346403554977571756,Anthony,AY348314,GenBank
2965347818226010352,5496450762109605214,14346403554977571756,Anthony,AY338175,GenBank
3817420235893012595,5496450762109605214,14346403554977571756,Anthony,AY338174,GenBank
16985424621182233094,5496450762109605214,14346403554977571756,Anthony,DQ497008,GenBank
2799223405253228136,5496450762109605214,14346403554977571756,Anthony,DQ182595,GenBank
11892826368244356929,5496450762109605214,14346403554977571756,Anthony,AY291451,GenBank
4267602361639112678,5496450762109605214,14346403554977571756,Anthony,AB257344,GenBank
9043938553162481901,8327586123028839777,1285280064269370905,Anthony,MK062184,GenBank
14286937356360651283,8327586123028839777,1285280064269370905,Anthony,MK062183,GenBank
1406242380264766408,8327586123028839777,1285280064269370905,Anthony,MK062182,GenBank
12021654182820222802,8327586123028839777,1285280064269370905,Anthony,MK062181,GenBank
739996059937779435,8327586123028839777,1285280064269370905,Anthony,MK062180,GenBank
7124227334677155786,8327586123028839777,1285280064269370905,Anthony,MK062179,GenBank
13087135506207868103,8709432286658782043,17592166570154755579,Anthony,KX722530,GenBank
2902333553929522453,8709432286658782043,17592166570154755579,Anthony,KX722529,GenBank
6441568739677303954,16261582471446786743,1285280064269370905,Anthony,KY417144,GenBank
11746392379537822655,16261582471446786743,9880904342534520079,Anthony,KT444582,GenBank
3364089916367084411,5496450762109605214,14346403554977571756,Anthony,JQ316196,GenBank
5987690412263391255,5496450762109605214,14346403554977571756,Anthony,FJ882960,GenBank
1981001817317097203,5496450762109605214,14346403554977571756,Anthony,FJ882956,GenBank
2842504386019345939,5496450762109605214,14346403554977571756,Anthony,FJ882955,GenBank
5697924623140350314,5496450762109605214,14346403554977571756,Anthony,FJ882950,GenBank
5606376622650124007,5496450762109605214,14346403554977571756,Anthony,FJ882949,GenBank
14590985976583733541,5496450762109605214,14346403554977571756,Anthony,FJ882946,GenBank
13389580864187937829,5496450762109605214,14346403554977571756,Anthony,FJ882944,GenBank
12196897813750611977,5496450762109605214,14346403554977571756,Anthony,FJ882941,GenBank
7363410366391589343,5496450762109605214,14346403554977571756,Anthony,FJ882940,GenBank
3052731126067449193,5496450762109605214,14346403554977571756,Anthony,FJ882939,GenBank
17419744277446269318,5496450762109605214,14346403554977571756,Anthony,FJ882938,GenBank
8341218088924576086,5496450762109605214,14346403554977571756,Anthony,FJ882937,GenBank
18387558775453965718,5496450762109605214,14346403554977571756,Anthony,FJ882936,GenBank
11919510458169916916,5496450762109605214,14346403554977571756,Anthony,FJ882935,GenBank
1328699544517280484,5496450762109605214,14346403554977571756,Anthony,FJ882934,GenBank
17988335311270176890,5496450762109605214,14346403554977571756,Anthony,FJ882933,GenBank
7390444732867813446,5496450762109605214,14346403554977571756,Anthony,FJ882932,GenBank
5883266077895664857,5496450762109605214,14346403554977571756,Anthony,FJ882931,GenBank
