origin,id,host_class,host_order,host_family,host_genus,host_species,virus_genus,virus_subgenus
Anthony,1949718998934295512,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,6485771847050645159,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,745695606085886295,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,4476363718457296127,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,3400834396291875817,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,12067465502196871526,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,14469058434176641404,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,15972450649843746887,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,13344924244805220894,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,17615262018965753825,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,13284963101560258140,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,297094969730207545,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,4031083217862955506,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,815859493997587596,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,6646424006252815053,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,2145409386002097904,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,3806710449741940428,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,8099210786661644139,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,734133799325167385,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,9801914402851746529,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,12003459224716472020,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,8748713281665709857,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,2037847250345592144,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,9548536340964383012,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,7678019749555686296,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,11472303066707843885,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,4394880370350306134,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,7846608501960313495,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,3686266296677779398,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,7271715040743026104,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,4352957525507489225,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,5193861546866124067,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,7260498922644215485,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,13022431794096914267,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,11661931415459906597,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,7638396690862721475,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,11319541141218174988,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,7617370794704481187,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,10113717326977614383,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,1807088611521950006,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,4485652978388055625,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,6383388380592421678,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,13715010053005468104,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,6600763818822469240,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,9859835970185956997,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,1093287491682474384,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,14485084466667369330,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,1184284746009923280,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,17294896927778316012,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,3695387658684078738,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,3437096688820821770,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,7343821156986873128,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,13785735033099649664,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,13002120445708218316,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,3619207405521558231,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,428064885551803833,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,4104029163344740394,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,8107958272130518970,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,16854352659595363720,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,6598181535007955191,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,11640611215802043033,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,7846453622479747330,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,16975325463277108108,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,15679891623873449664,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,11244916254717379261,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,10431277315121910838,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,15757395770605564576,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,5396837970903061509,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,4595549044047613077,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,6666593944435904175,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,5881672800689544542,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,764557024145648355,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,18008251293732816516,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,15453220158108945965,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,8086858848202896674,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,6770755899856320802,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,4984888711989667608,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,5498645344319581074,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,16791029558906292706,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,10974090577701629607,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,3004748691813368837,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,16327541575886612913,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,15191679055580270384,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,3400794873292338504,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,13309293783666413911,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,796878270682898052,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,8537951160676672724,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,12919698024414746430,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,3448887110007491066,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,8088399065356466929,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,1209273024185677275,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,16956634659919866682,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,9992134199959493890,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,17840054975865954235,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,2184505337104280218,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,14543878368287520187,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,18021498022674323271,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,11812164084689582574,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,7107610128137373746,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,13217154920028161870,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,4569801530506210838,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,12309191616889226010,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,5698683507471252459,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,16324898471487520020,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,4163191050651053019,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,103462412152361884,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,14423142194128278516,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,10159318041340626385,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,4831066717358937911,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,4321944490707853029,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,15531021469867432299,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,9844128680024632759,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,6836039795204895609,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,124273496636416732,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,6977187515598784016,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,14499045588194063751,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,1349256373058313955,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,2329970105970182669,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,7233424332199319840,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,7599698923954371964,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,4738378115498112305,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,5124477164575132552,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,12877370040840684497,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,10400523834075181359,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,11811752938963370226,Mammalia,Carnivora,Felidae,Felis,Felis catus,Alphacoronavirus,
Anthony,573490979827344386,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,16882258696964454605,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Alphacoronavirus,
Anthony,5910550488714253468,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,9478916695170379820,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,13042817072442628901,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,7166189377330128854,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,11615891265794270613,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,14780350609281614370,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,14307734520327382204,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,12063511466952013983,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,2610031582989847858,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,9879559739723468415,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,10515316517028915777,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,17011685355891252509,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,7909025057819878444,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,2770774564724149771,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,10242107344899913170,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,14841849983666525583,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,16536800287753256782,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,12484127428631540600,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,12456535572951870054,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,9857040727443922941,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,2966281357384318655,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,5404587920310842527,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,1256661529289761041,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,7567758415476075918,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,7534044322208810360,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,14571257667846662931,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,14620154770111417599,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,7244658263465311190,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,8217215029243999845,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,12596849326106044378,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,10833022835975132242,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,8583943584715070461,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,958810502288722275,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,13039018839849797530,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,13576432081134867222,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,2710508272787249660,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,2198865824744906639,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,5480039926618559320,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,6580547998592099037,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,6707974300475526831,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,1389296236082128104,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,4331976749117266521,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,3782137367291741905,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,14468076152474464457,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,14749748863036861286,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,12449729672679848722,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,15530655778286684271,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,3702680596447101425,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,4531008888527275885,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,13968635663723991854,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,12537112957819565314,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,969931803271087741,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,9911536870152896299,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,11962841217601794654,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,2493851849997062705,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,8950242798524045432,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,205970583155371565,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,6741947728304132770,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,2140274730245472658,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,14356631538019060036,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,6936660611632856073,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,4310141867381052065,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,13762111423362838787,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,6709179664035403176,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,9961508178561558633,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,15397945724607577643,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,12474967780236295446,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,2579723690986742983,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,2383032291551359687,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,16329649498514836215,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,13936535926912522791,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,7220229746018235240,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,5936899351951361700,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,2950672485836153494,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,10250512535247554642,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,3099674697895489102,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,12615604618744521681,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,10696049945472955397,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,689969519191174749,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,16768334095635853578,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,7975348318761106305,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,14986944276498512147,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,3406321214153064432,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,17123261827002221086,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,10891484669651376328,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,17403189421140577849,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,7673590666865807864,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,6007907672327747546,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,14822006500361819733,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,11715750651247862349,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,8106185887663608167,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,1257273936038005430,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,11653410705560833387,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,8974739591175888014,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,9588000770623657578,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,8020640581216723288,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,7856337079584750558,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,13458319371080433064,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,5653997436783142783,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,7951150803015805602,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,10142635626251214755,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,14883379244560599449,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,12653392871667518415,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,7558900930004572030,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,10303985978635792795,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,4045085417441906841,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,9113121565841046031,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,14023660323889910990,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,9018789931118019906,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,13293137942231104465,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,12191290278164924233,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,3086449334638030627,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,5023561767538173840,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,18039339609284685303,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,15787496284245187076,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
