origin,id,host_class,host_order,host_family,host_genus,host_species,virus_genus,virus_subgenus
Anthony,13087135506207868103,Mammalia,Carnivora,Felidae,Felis,Felis catus,Alphacoronavirus,
Anthony,2902333553929522453,Mammalia,Carnivora,Felidae,Felis,Felis catus,Alphacoronavirus,
Anthony,7254663742193606944,Mammalia,Carnivora,Felidae,Felis,Felis catus,Alphacoronavirus,
Anthony,11037816925938660849,Mammalia,Carnivora,Felidae,Felis,Felis catus,Alphacoronavirus,
Anthony,11526867007709962236,Mammalia,Carnivora,Felidae,Felis,Felis catus,Alphacoronavirus,
Anthony,16082030410249589993,Mammalia,Carnivora,Felidae,Felis,Felis catus,Alphacoronavirus,
Anthony,7667932282361843158,Mammalia,Carnivora,Felidae,Felis,Felis catus,Alphacoronavirus,
Anthony,17791931444978911687,Mammalia,Carnivora,Felidae,Felis,Felis catus,Alphacoronavirus,
Anthony,1403932798040435324,Mammalia,Carnivora,Felidae,Felis,Felis catus,Alphacoronavirus,
Anthony,6145031248949397057,Mammalia,Carnivora,Felidae,Felis,Felis catus,Alphacoronavirus,
Anthony,2962886188761549684,Mammalia,Carnivora,Felidae,Felis,Felis catus,Alphacoronavirus,
Anthony,5187579739550567726,Mammalia,Carnivora,Felidae,Felis,Felis catus,Alphacoronavirus,
Anthony,6565011178224266462,Mammalia,Carnivora,Felidae,Felis,Felis catus,Alphacoronavirus,
Anthony,15468610896867334400,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Alphacoronavirus,
Anthony,10084222419514261306,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,13244516839469870876,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,7232218775308394027,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,14834019373030405923,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,7818645584036438948,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,11553411861458539377,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,9980896907860848428,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,17748439319125978743,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,7359294012387570767,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,706357080900766332,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,864164764255963739,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus,
Anthony,14266023065368592876,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis lucifugus,Alphacoronavirus,
