host_family,host_genus,host_species,virus_genus,virus_subgenus
Vespertilionidae,Myotis,Myotis lucifugus,Lyssavirus,
Vespertilionidae,Myotis,Myotis nigricans,Lyssavirus,
Vespertilionidae,Myotis,Myotis riparius,Lyssavirus,
Vespertilionidae,Myotis,Myotis septentrionalis,Lyssavirus,
Vespertilionidae,Myotis,Myotis thysanodes,Lyssavirus,
Vespertilionidae,Myotis,Myotis velifer,Lyssavirus,
Vespertilionidae,Myotis,Myotis volans,Lyssavirus,
Vespertilionidae,Myotis,Myotis yumanensis,Lyssavirus,
Vespertilionidae,Nycticeius,Nycticeius humeralis,Lyssavirus,
Molossidae,Nyctinomops,Nyctinomops laticaudatus,Lyssavirus,
Molossidae,Nyctinomops,Nyctinomops macrotis,Lyssavirus,
Phyllostomidae,Phyllostomus,Phyllostomus hastatus,Lyssavirus,
Vespertilionidae,Parastrellus,Parastrellus hesperus,Lyssavirus,
Vespertilionidae,Perimyotis,Perimyotis subflavus,Lyssavirus,
Phyllostomidae,Platyrrhinus,Platyrrhinus lineatus,Lyssavirus,
Mormoopidae,Pteronotus,Pteronotus davyi,Lyssavirus,
Mormoopidae,Pteronotus,Pteronotus parnellii,Lyssavirus,
Rhinolophidae,Rhinolophus,Rhinolophus pusillus,Lyssavirus,
Pteropodidae,Rousettus,Rousettus leschenaultii,Lyssavirus,
Phyllostomidae,Sturnira,Sturnira lilium,Lyssavirus,
Molossidae,Tadarida,Tadarida brasiliensis,Lyssavirus,
Phyllostomidae,Uroderma,Uroderma bilobatum,Lyssavirus,
Pteropodidae,Epomops,Epomops franqueti,Marburgvirus,
Pteropodidae,Hypsignathus,Hypsignathus monstrosus,Marburgvirus,
Miniopteridae,Miniopterus,Miniopterus inflatus,Marburgvirus,
Rhinolophidae,Rhinolophus,Rhinolophus eloquens,Marburgvirus,
Pteropodidae,Rousettus,Rousettus aegyptiacus,Marburgvirus,
Nycteridae,Nycteris,Nycteris gambiensis,Orbivirus,
Nycteridae,Nycteris,Nycteris nana,Orbivirus,
Pteropodidae,Eidolon,Eidolon helvum,Orbivirus,
Pteropodidae,Syconycteris,Syconycteris australis,Orbivirus,
Phyllostomidae,Anoura,Anoura geoffroyi,Orthobunyavirus,
Phyllostomidae,Carollia,Carollia perspicillata,Orthobunyavirus,
Natalidae,Natalus,Natalus tumidirostris,Orthobunyavirus,
Phyllostomidae,Phyllostomus,Phyllostomus hastatus,Orthobunyavirus,
Mormoopidae,Pteronotus,Pteronotus parnellii,Orthobunyavirus,
Pteropodidae,Cynopterus,Cynopterus sphinx,Orthobunyavirus,
Pteropodidae,Eidolon,Eidolon helvum,Orthobunyavirus,
Vespertilionidae,Myotis,Myotis keenii,Orthobunyavirus,
Vespertilionidae,Myotis,Myotis septentrionalis,Orthobunyavirus,
Phyllostomidae,Artibeus,Artibeus lituratus,Orthobunyavirus,
Molossidae,Molossus,Molossus molossus,Orthobunyavirus,
Molossidae,Tadarida,Tadarida plicatus,Orthobunyavirus,
Emballonuridae,Taphozous,Taphozous perforatus,Orthobunyavirus,
Emballonuridae,Taphozous,Taphozous theobaldi,Orthobunyavirus,
Molossidae,Molossus,Molossus rufus,Orthobunyavirus,
Phyllostomidae,Artibeus,Artibeus jamaicensis,Orthobunyavirus,
Pteropodidae,Epomophorus,Epomophorus labiatus,Orthobunyavirus,
Pteropodidae,Epomops,Epomops franqueti,Orthobunyavirus,
Pteropodidae,Rousettus,Rousettus aegyptiacus,Orthobunyavirus,
Phyllostomidae,Uroderma,Uroderma bilobatum,Orthohepadnavirus,
Pteropodidae,Pteropus,Pteropus poliocephalus,Orthoreovirus,
Pteropodidae,Rousettus,Rousettus leschenaultii,Orthoreovirus,
Phyllostomidae,Artibeus,Artibeus lituratus,Phlebovirus,
Pteropodidae,Epomops,Epomops franqueti,Phlebovirus,
Vespertilionidae,Glauconycteris,Glauconycteris argentata,Phlebovirus,
Hipposideridae,Hipposideros,Hipposideros abae,Phlebovirus,
Hipposideridae,Hipposideros,Hipposideros caffer,Phlebovirus,
Pteropodidae,Micropteropus,Micropteropus pusillus,Phlebovirus,
Miniopteridae,Miniopterus,Miniopterus schreibersii,Phlebovirus,
Vespertilionidae,Pipistrellus,Pipistrellus kuhlii,Phlebovirus,
Phyllostomidae,Phyllostomus,Phyllostomus hastatus,Vesiculovirus,
Phyllostomidae,Artibeus,Artibeus lituratus,Vesiculovirus,
Rhinolophidae,Rhinolophus,Rhinolophus eloquens,Vesiculovirus,
Rhinolophidae,Rhinolophus,Rhinolophus hildebrandtii,Vesiculovirus,
Phyllostomidae,Artibeus,Artibeus jamaicensis,Vesiculovirus,
Phyllostomidae,Dermanura,Dermanura phaeotis,Vesiculovirus,
Phyllostomidae,Carollia,Carollia perspicillata,Vesiculovirus,
Phyllostomidae,Desmodus,Desmodus rotundus,Vesiculovirus,
Phyllostomidae,Glossophaga,Glossophaga soricina,Vesiculovirus,
Phyllostomidae,Lonchophylla,Lonchophylla robusta,Vesiculovirus,
Phyllostomidae,Lophostoma,Lophostoma silvicolum,Vesiculovirus,
Phyllostomidae,Sturnira,Sturnira lilium,Vesiculovirus,
Phyllostomidae,Vampyrodes,Vampyrodes caraccioli,Vesiculovirus,
